Algorithm,Timestamp (s),Relative number path,length(m),source,dest
onepass_plus,1.6322460174560547,6,33126.340765,Viale Lodi 55 Pavia,Via Vigentina Pavia
esx,1.6971471309661865,6,74090.782433,Viale Lodi 55 Pavia,Via Vigentina Pavia
penalty,2.028771162033081,0,139378.111384,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
onepass_plus,2.0880730152130127,0,139378.111384,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
esx,2.1478888988494873,0,139378.111384,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
585202086,2.1491432189941406,573382366,293807081.0,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
penalty,2.1792168617248535,1,160103.661491,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
penalty,2.2079639434814453,2,161848.655097,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
esx,2.2386560440063477,1,166139.601801,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
penalty,2.269437074661255,3,178639.109638,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
penalty,2.2999141216278076,4,192059.27077,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
onepass_plus,2.3280630111694336,1,147731.271825,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
penalty,2.3627820014953613,5,168745.313675,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
esx,2.3925130367279053,2,180065.523204,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
penalty,2.4225571155548096,6,163457.856199,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
esx,2.4553940296173096,3,248650.392653,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
onepass_plus,4.469699144363403,2,155677.968279,Via Giovanni Chiassi Mantova,Via Vigentina Pavia
penalty,6.452314138412476,0,159990.450227,Venaria Reale Torino,Viale Lodi 55 Pavia
onepass_plus,6.486569881439209,0,159990.450227,Venaria Reale Torino,Viale Lodi 55 Pavia
esx,6.549313068389893,0,159990.450227,Venaria Reale Torino,Viale Lodi 55 Pavia
penalty,6.581691741943359,1,176673.307363,Venaria Reale Torino,Viale Lodi 55 Pavia
esx,6.6657819747924805,1,169981.620782,Venaria Reale Torino,Viale Lodi 55 Pavia
onepass_plus,6.726656913757324,1,168279.65331,Venaria Reale Torino,Viale Lodi 55 Pavia
esx,7.327708005905151,0,159990.450227,Venaria Reale Torino,Viale Lodi 55 Pavia
onepass_plus,7.19203782081604,0,159990.450227,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
esx,7.256678819656372,0,159990.450227,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
penalty,7.291347980499268,0,159990.450227,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
esx,7.357808828353882,1,169981.620782,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
6,7.360142946243286,9471927022,452409630.0,Strada del Col San Carlo La Thuile,Via Gran Paradiso Cogne
