alg,time,number,length,source,dest
onepass_plus,8.023523807525635,6,8130.816,Via Garibaldi Torino,Corso Unità
onepass_plus,1.0150504112243652,0,2127.645,Via XX Settembre Novara,Corso Cavour Novara
esx,1.0629141330718994,0,2127.645,Via XX Settembre Novara,Corso Cavour Novara
penalty,1.0997631549835205,0,2127.645,Via XX Settembre Novara,Corso Cavour Novara
onepass_plus,1.1440386772155762,1,2572.686,Via XX Settembre Novara,Corso Cavour Novara
esx,1.1977062225341797,1,2572.686,Via XX Settembre Novara,Corso Cavour Novara
onepass_plus,1.240488052368164,2,4423.034,Via XX Settembre Novara,Corso Cavour Novara
esx,1.2865006923675537,2,4423.034,Via XX Settembre Novara,Corso Cavour Novara
esx,1.3163621425628662,3,5784.417,Via XX Settembre Novara,Corso Cavour Novara
esx,1.3595249652862549,4,5982.651,Via XX Settembre Novara,Corso Cavour Novara
esx,1.4596824645996094,5,8283.832,Via XX Settembre Novara,Corso Cavour Novara
esx,1.501565933227539,6,9894.7,Via XX Settembre Novara,Corso Cavour Novara
onepass_plus,1.5122828483581543,0,56902.301,Corso Nizza Cuneo,Via Roma Cuneo
penalty,1.5569164752960205,0,56902.301,Corso Nizza Cuneo,Via Roma Cuneo
esx,1.5935397148132324,0,56902.301,Corso Nizza Cuneo,Via Roma Cuneo
onepass_plus,1.6390140056610107,1,57077.372,Corso Nizza Cuneo,Via Roma Cuneo
penalty,1.6704251766204834,1,57430.774,Corso Nizza Cuneo,Via Roma Cuneo
esx,1.7083916664123535,1,64612.794,Corso Nizza Cuneo,Via Roma Cuneo
onepass_plus,1.739534616470337,2,61524.481,Corso Nizza Cuneo,Via Roma Cuneo
penalty,1.8000757694244385,2,62642.324,Corso Nizza Cuneo,Via Roma Cuneo
onepass_plus,1.8336248397827148,3,62577.659,Corso Nizza Cuneo,Via Roma Cuneo
esx,1.874293327331543,2,73259.715,Corso Nizza Cuneo,Via Roma Cuneo
penalty,1.9158339500427246,3,63063.868,Corso Nizza Cuneo,Via Roma Cuneo
penalty,1.9644269943237305,4,69224.521,Corso Nizza Cuneo,Via Roma Cuneo
esx,2.0055668354034424,3,76751.281,Corso Nizza Cuneo,Via Roma Cuneo
penalty,2.0484256744384766,5,74306.145,Corso Nizza Cuneo,Via Roma Cuneo
onepass_plus,2.0858829021453857,4,64824.621,Corso Nizza Cuneo,Via Roma Cuneo
penalty,2.1300241947174072,6,79039.406,Corso Nizza Cuneo,Via Roma Cuneo
esx,2.2460758686065674,4,98870.72,Corso Nizza Cuneo,Via Roma Cuneo
esx,2.445005416870117,5,103474.135,Corso Nizza Cuneo,Via Roma Cuneo
esx,2.608330726623535,6,110306.224,Corso Nizza Cuneo,Via Roma Cuneo
onepass_plus,7.02897310256958,5,66144.203,Corso Nizza Cuneo,Via Roma Cuneo
onepass_plus,151.89429926872253,6,67012.878,Corso Nizza Cuneo,Via Roma Cuneo
onepass_plus,0.8364789485931396,0,24547.202,Corso Alfieri Asti,Via Cavour Asti
esx,0.8792119026184082,0,24547.202,Corso Alfieri Asti,Via Cavour Asti
penalty,0.9330642223358154,0,24547.202,Corso Alfieri Asti,Via Cavour Asti
onepass_plus,0.9739727973937988,1,25974.792,Corso Alfieri Asti,Via Cavour Asti
esx,1.0066022872924805,1,28422.191,Corso Alfieri Asti,Via Cavour Asti
penalty,1.0452709197998047,1,25974.792,Corso Alfieri Asti,Via Cavour Asti
onepass_plus,1.092092752456665,2,29393.392,Corso Alfieri Asti,Via Cavour Asti
esx,1.1392583847045898,2,40418.446,Corso Alfieri Asti,Via Cavour Asti
penalty,1.1718990802764893,2,32092.908,Corso Alfieri Asti,Via Cavour Asti
onepass_plus,1.2108523845672607,3,31446.759,Corso Alfieri Asti,Via Cavour Asti
penalty,1.2453479766845703,3,30908.705,Corso Alfieri Asti,Via Cavour Asti
esx,1.2875268459320068,3,46080.54,Corso Alfieri Asti,Via Cavour Asti
onepass_plus,1.3620190620422363,4,35848.253,Corso Alfieri Asti,Via Cavour Asti
esx,1.4040117263793945,4,67138.97,Corso Alfieri Asti,Via Cavour Asti
esx,1.5776114463806152,5,102451.631,Corso Alfieri Asti,Via Cavour Asti
onepass_plus,1.6263911724090576,5,39031.902,Corso Alfieri Asti,Via Cavour Asti
onepass_plus,1.702183485031128,6,39599.111,Corso Alfieri Asti,Via Cavour Asti
esx,1.865339756011963,6,135100.326,Corso Alfieri Asti,Via Cavour Asti
penalty,0.8777871131896973,0,15990.129,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
esx,0.9201717376708984,0,15990.129,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
onepass_plus,1.2548725605010986,0,15990.129,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
penalty,1.3535230159759521,1,16741.671,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
esx,1.4447848796844482,1,17049.43,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
onepass_plus,1.6595871448516846,1,16071.235,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
penalty,1.8127601146697998,2,17929.087,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
esx,1.9930546283721924,2,18532.341,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
onepass_plus,2.0916333198547363,2,16535.896,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
penalty,2.1499319076538086,3,20004.942,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
esx,2.2165603637695312,3,20502.152,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
onepass_plus,2.2795002460479736,3,16804.332,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
penalty,2.3964476585388184,4,17411.0,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
esx,2.482374668121338,4,24840.701,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
onepass_plus,2.5819804668426514,4,18146.93,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
penalty,2.7448060512542725,5,22761.568,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
esx,2.8279354572296143,5,25529.084,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
onepass_plus,2.9148547649383545,5,19119.274,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
penalty,2.974128246307373,6,22204.991,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
esx,3.117337942123413,6,30982.159,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
onepass_plus,3.1664373874664307,6,19148.329,Via Galileo Ferraris Vercelli,Corso Libertà Vercelli
esx,3.6356611251831055,0,1952.073,Via Lagrange Torino,Piazza Castello Torino
onepass_plus,3.962322473526001,0,1952.073,Via Lagrange Torino,Piazza Castello Torino
penalty,4.24168586730957,0,1952.073,Via Lagrange Torino,Piazza Castello Torino
esx,4.528425693511963,1,2039.817,Via Lagrange Torino,Piazza Castello Torino
onepass_plus,4.68625545501709,1,2039.817,Via Lagrange Torino,Piazza Castello Torino
penalty,4.900081396102905,1,2039.817,Via Lagrange Torino,Piazza Castello Torino
esx,5.060456991195679,2,2922.031,Via Lagrange Torino,Piazza Castello Torino
onepass_plus,5.482335805892944,2,2305.961,Via Lagrange Torino,Piazza Castello Torino
penalty,5.920062780380249,2,2507.876,Via Lagrange Torino,Piazza Castello Torino
esx,6.048872470855713,3,3154.302,Via Lagrange Torino,Piazza Castello Torino
onepass_plus,6.183049440383911,3,2426.271,Via Lagrange Torino,Piazza Castello Torino
penalty,6.3681557178497314,3,2427.723,Via Lagrange Torino,Piazza Castello Torino
esx,6.562511920928955,4,3582.354,Via Lagrange Torino,Piazza Castello Torino
onepass_plus,6.753576278686523,4,2484.041,Via Lagrange Torino,Piazza Castello Torino
penalty,6.936386346817017,4,2504.872,Via Lagrange Torino,Piazza Castello Torino
esx,7.005651235580444,5,4341.767,Via Lagrange Torino,Piazza Castello Torino
onepass_plus,7.134654521942139,5,2503.019,Via Lagrange Torino,Piazza Castello Torino
esx,7.276137590408325,6,5126.614,Via Lagrange Torino,Piazza Castello Torino
onepass_plus,7.392450571060181,6,2704.832,Via Lagrange Torino,Piazza Castello Torino
esx,3.1776554584503174,0,2906.749,Corso Francia Torino,Via San Secondo Torino
onepass_plus,3.2294669151306152,0,2906.749,Corso Francia Torino,Via San Secondo Torino
penalty,3.268789529800415,0,2906.749,Corso Francia Torino,Via San Secondo Torino
esx,3.3102800846099854,1,2942.532,Corso Francia Torino,Via San Secondo Torino
onepass_plus,3.334812641143799,1,2907.363,Corso Francia Torino,Via San Secondo Torino
penalty,3.3578600883483887,1,2942.532,Corso Francia Torino,Via San Secondo Torino
onepass_plus,3.3950114250183105,2,2909.634,Corso Francia Torino,Via San Secondo Torino
esx,3.44254469871521,2,2996.888,Corso Francia Torino,Via San Secondo Torino
penalty,3.5095200538635254,2,2929.253,Corso Francia Torino,Via San Secondo Torino
onepass_plus,3.5632123947143555,3,2928.877,Corso Francia Torino,Via San Secondo Torino
esx,3.6155929565429688,3,3336.336,Corso Francia Torino,Via San Secondo Torino
penalty,3.6896257400512695,3,3374.112,Corso Francia Torino,Via San Secondo Torino
onepass_plus,3.7462427616119385,4,2935.779,Corso Francia Torino,Via San Secondo Torino
esx,3.840541362762451,4,3896.691,Corso Francia Torino,Via San Secondo Torino
penalty,3.9124183654785156,4,3221.003,Corso Francia Torino,Via San Secondo Torino
onepass_plus,4.0375823974609375,5,2942.532,Corso Francia Torino,Via San Secondo Torino
esx,4.143868923187256,5,4257.673,Corso Francia Torino,Via San Secondo Torino
penalty,4.249255657196045,5,3992.287,Corso Francia Torino,Via San Secondo Torino
onepass_plus,4.324719429016113,6,3076.751,Corso Francia Torino,Via San Secondo Torino
esx,4.382145643234253,6,4447.519,Corso Francia Torino,Via San Secondo Torino
penalty,4.45304274559021,6,4189.608,Corso Francia Torino,Via San Secondo Torino
onepass_plus,0.917067289352417,0,8389.588,Via Montenero Biella,Via Italia Biella
esx,0.9712944030761719,0,8389.588,Via Montenero Biella,Via Italia Biella
penalty,1.0266578197479248,0,8389.588,Via Montenero Biella,Via Italia Biella
onepass_plus,1.0576772689819336,1,8545.079,Via Montenero Biella,Via Italia Biella
esx,1.0877246856689453,1,8549.669,Via Montenero Biella,Via Italia Biella
penalty,1.1180076599121094,1,8613.77,Via Montenero Biella,Via Italia Biella
onepass_plus,1.1487922668457031,2,8555.607,Via Montenero Biella,Via Italia Biella
esx,1.1880462169647217,2,13018.345,Via Montenero Biella,Via Italia Biella
penalty,1.2189157009124756,2,8555.607,Via Montenero Biella,Via Italia Biella
onepass_plus,1.2595288753509521,3,8782.117,Via Montenero Biella,Via Italia Biella
esx,1.3001763820648193,3,20912.709,Via Montenero Biella,Via Italia Biella
penalty,1.3413782119750977,3,9073.76,Via Montenero Biella,Via Italia Biella
onepass_plus,1.3847408294677734,4,8880.52,Via Montenero Biella,Via Italia Biella
esx,1.434281826019287,4,31272.809,Via Montenero Biella,Via Italia Biella
onepass_plus,1.4723224639892578,5,9118.945,Via Montenero Biella,Via Italia Biella
esx,1.5219261646270752,5,36568.393,Via Montenero Biella,Via Italia Biella
esx,1.6062061786651611,6,50135.926,Via Montenero Biella,Via Italia Biella
onepass_plus,1.707563877105713,6,10141.531,Via Montenero Biella,Via Italia Biella
esx,2.922435998916626,0,3856.851,Corso Inghilterra Torino,Via Madama Cristina Torino
onepass_plus,2.957951784133911,0,3856.851,Corso Inghilterra Torino,Via Madama Cristina Torino
penalty,2.9901022911071777,0,3856.851,Corso Inghilterra Torino,Via Madama Cristina Torino
onepass_plus,3.0300514698028564,1,3908.549,Corso Inghilterra Torino,Via Madama Cristina Torino
esx,3.068373918533325,1,3908.617,Corso Inghilterra Torino,Via Madama Cristina Torino
penalty,3.1058456897735596,1,3928.696,Corso Inghilterra Torino,Via Madama Cristina Torino
onepass_plus,3.134006977081299,2,3912.449,Corso Inghilterra Torino,Via Madama Cristina Torino
penalty,3.164107322692871,2,3970.917,Corso Inghilterra Torino,Via Madama Cristina Torino
onepass_plus,3.209059476852417,3,3926.902,Corso Inghilterra Torino,Via Madama Cristina Torino
penalty,3.2564399242401123,3,4191.561,Corso Inghilterra Torino,Via Madama Cristina Torino
esx,3.3111207485198975,2,3912.498,Corso Inghilterra Torino,Via Madama Cristina Torino
onepass_plus,3.352170944213867,4,3963.694,Corso Inghilterra Torino,Via Madama Cristina Torino
penalty,3.388390302658081,4,4420.827,Corso Inghilterra Torino,Via Madama Cristina Torino
onepass_plus,3.4201810359954834,5,3969.211,Corso Inghilterra Torino,Via Madama Cristina Torino
esx,3.4511663913726807,3,4001.218,Corso Inghilterra Torino,Via Madama Cristina Torino
penalty,3.4936587810516357,5,4195.973,Corso Inghilterra Torino,Via Madama Cristina Torino
onepass_plus,3.5355565547943115,6,3971.371,Corso Inghilterra Torino,Via Madama Cristina Torino
penalty,3.5742151737213135,6,4214.136,Corso Inghilterra Torino,Via Madama Cristina Torino
esx,3.6161630153656006,4,4113.4,Corso Inghilterra Torino,Via Madama Cristina Torino
esx,3.7066726684570312,5,4164.293,Corso Inghilterra Torino,Via Madama Cristina Torino
esx,3.773921012878418,6,4319.421,Corso Inghilterra Torino,Via Madama Cristina Torino
