alg,source,dest,number,time,length,length_at_number_0
esx,Corso Casale Torino,Via Garibaldi Finale Ligure,4,5.852234363555908,244635.81,158386.777
esx,Corso Casale Torino,Via Garibaldi Finale Ligure,5,7.628692150115967,288769.334,158386.777
esx,Corso Casale Torino,Via Garibaldi Finale Ligure,6,8.27600359916687,312439.064,158386.777
esx,Corso Cavour Vigevano,Via San Giorgio Sanremo,0,2.2291476726531982,254372.601,254372.601
esx,Corso Cavour Vigevano,Via San Giorgio Sanremo,1,2.4393489360809326,282004.637,254372.601
esx,Corso Cavour Vigevano,Via San Giorgio Sanremo,2,2.670162439346313,316673.637,254372.601
esx,Corso Cavour Vigevano,Via San Giorgio Sanremo,3,2.9707791805267334,343678.382,254372.601
esx,Corso Cavour Vigevano,Via San Giorgio Sanremo,4,3.170162916183472,367053.236,254372.601
esx,Corso Cavour Vigevano,Via San Giorgio Sanremo,5,3.4553234577178955,426858.31,254372.601
esx,Corso Cavour Vigevano,Via San Giorgio Sanremo,6,3.693812608718872,445460.85,254372.601
esx,Corso Dante Alighieri Cuneo,Via XX Settembre La Spezia,0,1.4721107482910156,283980.932,283980.932
esx,Corso Dante Alighieri Cuneo,Via XX Settembre La Spezia,1,1.747866153717041,353420.188,283980.932
esx,Corso Dante Alighieri Cuneo,Via XX Settembre La Spezia,2,2.1821773052215576,424120.781,283980.932
esx,Corso Dante Alighieri Cuneo,Via XX Settembre La Spezia,3,2.500279426574707,494892.51,283980.932
esx,Corso Dante Alighieri Cuneo,Via XX Settembre La Spezia,4,300.0,,283980.932
esx,Corso Dante Alighieri Cuneo,Via XX Settembre La Spezia,5,300.0,,283980.932
esx,Corso Dante Alighieri Cuneo,Via XX Settembre La Spezia,6,300.0,,283980.932
esx,Corso Dante Torino,Piazza Colombo Genova,0,4.437084674835205,178682.878,178682.878
esx,Corso Dante Torino,Piazza Colombo Genova,1,4.8150482177734375,186023.969,178682.878
esx,Corso Dante Torino,Piazza Colombo Genova,2,5.598439693450928,195548.497,178682.878
esx,Corso Dante Torino,Piazza Colombo Genova,3,6.173398733139038,238624.594,178682.878
esx,Corso Dante Torino,Piazza Colombo Genova,4,6.843642950057983,263809.816,178682.878
esx,Corso Dante Torino,Piazza Colombo Genova,5,7.923064231872559,293111.977,178682.878
esx,Corso Dante Torino,Piazza Colombo Genova,6,8.704037189483643,318642.242,178682.878
esx,Corso Duca degli Abruzzi Torino,Via Dante Imperia,0,3.3154735565185547,199495.4,199495.4
esx,Corso Duca degli Abruzzi Torino,Via Dante Imperia,1,3.9835188388824463,230725.005,199495.4
esx,Corso Duca degli Abruzzi Torino,Via Dante Imperia,2,4.62308144569397,262093.136,199495.4
esx,Corso Duca degli Abruzzi Torino,Via Dante Imperia,3,5.017452001571655,277686.914,199495.4
esx,Corso Duca degli Abruzzi Torino,Via Dante Imperia,4,6.119541645050049,394214.604,199495.4
esx,Corso Duca degli Abruzzi Torino,Via Dante Imperia,5,7.574951887130737,515314.369,199495.4
esx,Corso Duca degli Abruzzi Torino,Via Dante Imperia,6,300.0,,199495.4
esx,Corso Duca degli Abruzzi Torino,Via Matteotti Ivrea,0,3.547520160675049,57255.633,57255.633
esx,Corso Duca degli Abruzzi Torino,Via Matteotti Ivrea,1,4.014763355255127,63538.633,57255.633
esx,Corso Duca degli Abruzzi Torino,Via Matteotti Ivrea,2,4.728883743286133,65029.211,57255.633
esx,Corso Duca degli Abruzzi Torino,Via Matteotti Ivrea,3,5.374675035476685,71348.497,57255.633
esx,Corso Duca degli Abruzzi Torino,Via Matteotti Ivrea,4,7.793032884597778,102681.295,57255.633
esx,Corso Duca degli Abruzzi Torino,Via Matteotti Ivrea,5,10.02063250541687,152936.063,57255.633
esx,Corso Duca degli Abruzzi Torino,Via Matteotti Ivrea,6,300.0,,57255.633
esx,Corso Europa Torino,Via Matteotti Ivrea,0,1.344066143035889,92205.698,92205.698
esx,Corso Europa Torino,Via Matteotti Ivrea,1,1.554201602935791,96235.73,92205.698
esx,Corso Europa Torino,Via Matteotti Ivrea,2,1.736053228378296,98878.522,92205.698
esx,Corso Europa Torino,Via Matteotti Ivrea,3,1.890011548995972,108686.972,92205.698
esx,Corso Europa Torino,Via Matteotti Ivrea,4,2.116201639175415,136320.115,92205.698
esx,Corso Europa Torino,Via Matteotti Ivrea,5,300.0,,92205.698
esx,Corso Europa Torino,Via Matteotti Ivrea,6,300.0,,92205.698
esx,Corso Francia Rivoli,Via Fratelli Piol Rivoli,0,1.7939221858978271,3001.966,3001.966
esx,Corso Francia Rivoli,Via Fratelli Piol Rivoli,1,1.959306240081787,3535.19,3001.966
esx,Corso Francia Rivoli,Via Fratelli Piol Rivoli,2,2.133998155593872,8063.575,3001.966
esx,Corso Francia Rivoli,Via Fratelli Piol Rivoli,3,2.369892120361328,9899.916,3001.966
esx,Corso Francia Rivoli,Via Fratelli Piol Rivoli,4,2.680629253387451,14824.71,3001.966
esx,Corso Francia Rivoli,Via Fratelli Piol Rivoli,5,2.909607172012329,16048.145,3001.966
esx,Corso Francia Rivoli,Via Fratelli Piol Rivoli,6,3.034662961959839,17168.739,3001.966
esx,Corso Francia Torino,Lungomare Migliorini Finale Ligure,0,3.12898325920105,158110.604,158110.604
esx,Corso Francia Torino,Lungomare Migliorini Finale Ligure,1,3.8476083278656006,179428.142,158110.604
